Song,Artist
It's Been Awhile,Staind
Ex's & Oh's,Elle King
River,Bishop Briggs
On The Dark Side,John Cafferty & The Beaver Brown Band
Boulevard of Broken Dreams,Green Day
Separate Ways (Worlds Apart),Journey
You Wreck Me,Tom Petty
Sex on Fire,Kings of Leon
Mama, I'm Coming Home,Ozzy Osbourne
Sharp Dressed Man,ZZ Top
Every Rose Has Its Thorn,Poison
If You Could Only See,Tonic
If It Makes You Happy,Sheryl Crow
Bring Me to Life,Evanescence & Paul McCoy
Take It on the Run,REO Speedwagon
Beggin',M̴neskin
Second Chance,Shinedown
Welcome to My House,Nu Breed & Jesse Howard
Snuff,Slipknot
Come As You Are,Nirvana
The Way,Fastball
Dragula,Rob Zombie
My Immortal,Evanescence
Hemorrhage (In My Hands),Fuel
Possum Kingdom,The Toadies
Don't Speak,No Doubt
Just A Girl,No Doubt
Bad Eye of Loving You,Robert Palmer
Eye of the Tiger,Survivor
I Love Rock 'n' Roll,Joan Jett
Hey Ya! (Radio Mix - Club Mix),Outkast
867-5309 / Jenny,Tommy Tutone
If It Means a Lot to You,A Day To Remember & Sierra Kusterbeck
Cumbersome,Seven Mary Three
Inside Out,Eve 6
I Hate Myself for Loving You,Joan Jett
Black Velvet,Alannah Myles
Lips of an Angel,Hinder
Everybody Talks,Neon Trees
Break Stuff,Limp Bizkit
Bitch,Meredith Brooks
Crazy Bitch,Buckcherry
Black Hole Sun,Soundgarden
Aerials,System of a Down
One Way or Another,Blondie
Human Strike,Temple of the Dog
Dancing in the Dark,Bruce Springsteen
Dirty Little Secret,The All-American Rejects
Semi-Charmed Life,Third Eye Blind
Ain't No Rest for the Wicked,Cage the Elephant
The Kill (Bury Me),30 Seconds to Mars
Jump,Van Halen
Flagpole Sitta,Harvey Danger
Broken (feat. Amy Lee),Seether
Pour Some Sugar On Me,Def Leppard
Abracadabra (Single Version),Steve Miller Band
Call Me,Blondie
Hold On Loosely,.38 Special
Losing My Religion,R.E.M.
I Was Made For Lovin' You,Kiss
The Sound of Silence,Disturbed
Mr. Jones,Counting Crows
Southern Cross,Crosby, Stills & Nash
Spooky,Atlanta Rhythm Section
You Give Love a Bad Name,Bon Jovi
Miseria Business,Paramore
Lonely Day,System of a Down
Hey Jealousy,Gin Blossoms
Teenage Dirtbag,Wheatus
Close My Eyes Forever,Lita Ford & Ozzy Osbourne
Sweet Child O' Mine,Guns N' Roses
Man in the Box,Alice in Chains
Sister Christian,Night Ranger
Something to Remind You,Staind
Somebody Told Me,The Killers
Decode,Paramore (The Twilight Saga)
Santeria,Sublime
Edge of Seventeen,Stevie Nicks